"Time [ms]","FluxLinkage(PhaseA) [Wb]","FluxLinkage(PhaseB) [Wb]","FluxLinkage(PhaseC) [Wb]"
0,-0.086476106674419,0.317712497971398,-0.234605768098079
0.2,-0.0755436635551778,0.271972206207934,-0.197903009974523
0.4,-0.0620769768868833,0.223510947832022,-0.16234559398866
0.6,-0.0458559582648898,0.173528192395857,-0.128008791292305
0.8,-0.0272455790462307,0.12270239491698,-0.0954876321549878
1,-0.00653179724063392,0.0718384353251115,-0.0652364825980713
1.2,0.0158578859494446,0.0216365800385212,-0.0377768593228503
1.4,0.0395616884252319,-0.0271227528406354,-0.0135005164467195
1.6,0.0642380186265919,-0.0736464735119383,0.00728968825251485
1.8,0.0895364905292845,-0.117161162786877,0.0243576375813457
2,0.115117841314835,-0.15692516280099,0.0375392979733769
2.2,0.140659558473285,-0.192235891311633,0.04675529925432
2.4,0.165800775861825,-0.222492935303013,0.0519476789785408
2.6,0.190068973707394,-0.247298582640217,0.0530047367037084
2.8,0.213066593828036,-0.266274324301762,0.0499419805397116
3,0.234259495769489,-0.279290919459397,0.0426831025888251
3.2,0.2530462516062,-0.286397544096066,0.0311427069319835
3.4,0.269271185510157,-0.287345737828778,0.015684760647995
3.6,0.282754371128905,-0.282052193233685,-0.00332975864432693
3.8,0.293292881107202,-0.270594026807515,-0.0255474548216419
4,0.300812315732562,-0.253070188046029,-0.0504886449125306
4.2,0.305163014671417,-0.229791701351615,-0.077751936433294
4.4,0.30624199086256,-0.201166625182145,-0.106907321515405
4.6,0.304008910736459,-0.167681541506365,-0.13747339987852
4.8,0.298373369640195,-0.129989659528312,-0.169053357332695
5,0.289327834737232,-0.0887794146133899,-0.201196198565588
5.2,0.275932406197446,-0.0453994889873719,-0.231401755046037
5.4,0.257461378175507,-0.0010974003720726,-0.257090264854025
5.6,0.234231537181394,0.0434477505198575,-0.277841512679876
5.8,0.20646742746512,0.0873868195991741,-0.293489755353449
6,0.174631209101465,0.13003530775233,-0.303785754647235
6.2,0.139134787939231,0.170626954055575,-0.30867989322923
6.4,0.100512302885294,0.208481263453948,-0.308145280546722
6.6,0.0592212156992353,0.242823451465453,-0.302354749203884
6.8,0.0159652336960836,0.273146011223371,-0.291351581560176
7,-0.028382372121012,0.29914963057751,-0.275124384714188
7.2,-0.0730917663336265,0.32044743121039,-0.25391162708184
7.4,-0.117491285637567,0.336661232779141,-0.228097132482544
7.59999999999999,-0.160663745727201,0.347757579717376,-0.197881195688523
7.79999999999999,-0.201694898192381,0.353799035139926,-0.163524804570829
8,-0.239439743423524,0.355169204084044,-0.125108438978324
8.2,-0.273247102120994,0.351887719366894,-0.0832175563659585
8.4,-0.302867029141732,0.343710597405485,-0.0388182826342018
8.6,-0.328265085964669,0.330326924964555,0.00694410480900519
8.8,-0.349351614154157,0.311604675864739,0.0530170866527251
9,-0.365987979696349,0.287622924012566,0.09847376572658
9.2,-0.377812376293177,0.258859371464956,0.142692006644896
9.4,-0.384797420114428,0.22561805315147,0.184820285474149
9.6,-0.387198721484542,0.188070167168986,0.223823014668672
9.8,-0.385349753637735,0.146443411089095,0.258686890026738
10,-0.378938415688223,0.101752006296953,0.289204471671239
10.2,-0.367686504700388,0.0550884769422747,0.315276359547417
10.4,-0.351332306543629,0.00761475466649225,0.336922381379709
10.6,-0.329675312584129,-0.0394881779649574,0.354218731742389
10.8,-0.302457211281088,-0.0849285553115992,0.36744634322638
11,-0.270352705865085,-0.128256333545628,0.376141270351095
11.2,-0.234092716943325,-0.169018280657184,0.379949159753097
11.4,-0.194051412678274,-0.206372834352798,0.379020197468602
11.6,-0.150599297567949,-0.239456261283935,0.373633191776912
11.8,-0.104739902156961,-0.268067119639178,0.363555717757415
12,-0.0576892224362814,-0.292242659434988,0.348446339497421
12.2,-0.0107628320824778,-0.312192979749144,0.327934070220741
12.4,0.0347794740243661,-0.328137567659991,0.301773181216169
12.6,0.0786415446227143,-0.339413559602728,0.270772271284855
12.8,0.120438474045773,-0.345558628807721,0.235718668780915
13,0.159435489965766,-0.346569936122034,0.197081449355001
13.2,0.195032897275052,-0.342435310511666,0.155474825016613
13.4,0.226631956390254,-0.333253235425655,0.111526860939765
13.6,0.254019014036686,-0.318873518911215,0.0662090217324309
13.8,0.277233662102368,-0.299036062548298,0.0206952925633396
14,0.295889186460666,-0.274064849932286,-0.0243273179026065
14.2,0.309511756464439,-0.244548094943601,-0.0683466281918684
14.4,0.317868791930522,-0.210982617201949,-0.110705817998169
14.6,0.32089183457815,-0.173850334250162,-0.15069366959299
14.8,0.318503461148171,-0.133786291338386,-0.187722903573622
15,0.310777618363901,-0.091389857431621,-0.221178591134093
15.2,0.297753228274949,-0.0474072139139031,-0.250604463948799
15.4,0.279495066230661,-0.0026630039288425,-0.275664418159769
15.6,0.256212680747142,0.042055193843513,-0.296054630762242
15.8,0.228447121832281,0.0862136956479202,-0.31128894785775
16,0.19646206885794,0.128937321230697,-0.321320749090756
16.2,0.160745050321463,0.169526239587633,-0.326028748246601
16.4,0.121763446702932,0.207237199400154,-0.325454355029357
16.6,0.0799617858430984,0.241281878463014,-0.319790780260722
16.8,0.036149092235482,0.271254874975686,-0.308976844238009
17,-0.00857246506896188,0.297091976575564,-0.292766685353424
17.2,-0.0535237443195503,0.318352655206689,-0.271442637093304
17.4,-0.0980594782965638,0.334637666597877,-0.245413325237718
17.6,-0.141375937545098,0.345794552827789,-0.214996265305872
17.8,-0.18261517892125,0.351835752635257,-0.180501766145662
18,-0.220824527204642,0.35296662684076,-0.142193576741943
18.2,-0.255113965893122,0.349436426790887,-0.100421223472359
18.4,-0.285232661404904,0.341004989544374,-0.0561506842590504
18.6,-0.31115829074064,0.32734102471208,-0.0105402195976088
18.8,-0.332907225940246,0.308212892786026,0.0352577773325319
19,-0.350096002051569,0.283939040360401,0.0805527176186131
19.2,-0.362394601954827,0.2549659514345,0.124696990622265
19.4,-0.369695029086507,0.221675654022566,0.166909271720466
19.6,-0.372138133841848,0.184351993471739,0.206277550688506
19.8,-0.370113246969296,0.143169039446817,0.241741270570865
20,-0.363463693648842,0.0989739441882489,0.272918767212742
20.2,-0.35184215884968,0.0529203525291638,0.299769542237088
20.4,-0.334987268086778,0.00616470713731695,0.322301956314634
20.6,-0.312580029009324,-0.040007554662059,0.340713074796169
20.8,-0.28499524155899,-0.0849104079086634,0.354660173159046
21,-0.252887818992296,-0.128066742897804,0.363708626019712
21.2,-0.216720614558748,-0.168756182306981,0.367773528883416
21.4,-0.176891547510904,-0.206159991910236,0.366974662472537
21.6,-0.133789223922226,-0.239433770548743,0.361573231656388
21.8,-0.0883850212501268,-0.268338274574384,0.351362522786786
22,-0.0418936465204642,-0.292924105611308,0.335989798589934
22.2,0.00435256276122376,-0.313400769890402,0.315074958473433
22.4,0.0494623258130602,-0.329623423114993,0.288744228288118
22.6,0.0931820334019047,-0.340889414969015,0.257862401864184
22.8,0.134842104117523,-0.347017458408919,0.222930968340458
23,0.173707700639058,-0.348009375577781,0.184418963274765
23.2,0.209100930060323,-0.343923629237082,0.142868532872252
23.4,0.240405833090862,-0.334876765243075,0.0988848444270841
23.6,0.267440617692772,-0.320683638935673,0.0534804500471373
23.8,0.290323504983147,-0.301009219737219,0.00790281417574368
24,0.308775559236525,-0.276074979979649,-0.037058450853713
24.2,0.322115529086109,-0.246670868234447,-0.0810930471877158
24.4,0.330255418246005,-0.213154210333573,-0.123404514353486
24.6,0.333139480428867,-0.175996813253676,-0.163268087957118
24.8,0.330759329912003,-0.135763732020227,-0.20003308195958
25,0.323277139182098,-0.0929720229665292,-0.232988544247676
25.2,0.310589526883343,-0.0485105711181729,-0.261824209126196
25.4,0.292483184891248,-0.00348020514890158,-0.286485840162347
25.6,0.269275699043261,0.0414468123751676,-0.306549778672298
25.8,0.241480208233708,0.0857063812933487,-0.321564941332214
26,0.209426749689251,0.128490379964657,-0.33141527281991
26.2,0.173587135171668,0.169086155925354,-0.335999900958882
26.4,0.134395659524334,0.206712793618918,-0.335395047644309
26.6,0.09229730821793,0.240587086011298,-0.329793340201997
26.7999999999999,0.0481158651094461,0.270314413743756,-0.319127641379758
26.9999999999999,0.00303137113463907,0.295907097969728,-0.303070249458684
27.1999999999999,-0.0420466169158923,0.317162727787426,-0.28166660179923
27.3999999999999,-0.0866996766260173,0.333450017409392,-0.255550168773467
27.5999999999999,-0.130101226671171,0.344642957102074,-0.225014957341247
27.7999999999999,-0.171437685414628,0.350705405168487,-0.190418121406039
27.9999999999999,-0.209888700604386,0.351722414624623,-0.152142494604384
28.1999999999999,-0.244438462526146,0.348066867901627,-0.11042024453468
28.3999999999999,-0.274844679834785,0.339485065774858,-0.0662247688831982
28.5999999999999,-0.301057517283444,0.325675055027148,-0.020686027409773
28.7999999999999,-0.323083077175057,0.306411643428202,0.0250533857879744
28.9999999999999,-0.34064151223921,0.281916527775244,0.0702033274994115
29.1999999999999,-0.353190213019858,0.252842121608118,0.114319314897609
29.3999999999999,-0.36067955494318,0.219510278037882,0.156572161974945
29.5999999999999,-0.363227985323054,0.182232122293627,0.196064607228338
29.7999999999999,-0.361078398041245,0.141322234482545,0.231887842207937
30,-0.354256124342806,0.0974431930290893,0.2634738329443
