"Time [ms]","InducedVoltage(PhaseA) [V]","InducedVoltage(PhaseB) [V]","InducedVoltage(PhaseC) [V]"
0,41.9909978509387,-215.096625755079,189.240501306236
0.2,54.6622155962057,-228.70145881732,183.513790617776
0.4,67.3334333414728,-242.306291879562,177.787079929316
0.6,81.1050931099671,-249.913777180822,171.684013481777
0.8,93.0518960932959,-254.128987394386,162.605795686584
1,103.568909027984,-254.319797959343,151.255747784582
1.2,111.948415950393,-251.009276432952,137.298116376105
1.4,118.519012378936,-243.796664395783,121.381714380654
1.6,123.3816510068,-232.618603356515,103.951023496172
1.8,126.492359513463,-217.573446374691,85.3397466441541
2,127.906753927754,-198.820000070566,65.9083019601562
2.2,127.708585792249,-176.553642553219,46.0800064047152
2.4,125.706086942701,-151.285219956899,25.961898621104
2.6,121.340989227847,-124.028236686019,5.28528862583803
2.8,114.988100603206,-94.8787083077231,-15.3137808199839
3,105.964509707269,-65.082975788176,-36.2943897544323
3.2,93.9337791835545,-35.5331231833456,-57.7019782842082
3.4,81.1246695197826,-4.74096866356077,-77.2897314199421
3.6,67.4159280937428,26.4677229754631,-95.0725964616098
3.8,52.6925498914826,57.2908321308538,-111.088480886575
4,37.5971731267996,87.6191938074289,-124.705950454444
4.2,21.7534946942782,116.39243347207,-136.316457603817
4.4,5.39488095571222,143.125380847347,-145.776925410552
4.6,-11.1654006305023,167.4254183789,-152.830391815576
4.8,-28.1777054813206,188.459409890269,-157.899787270877
5,-45.2276745148142,206.051224574609,-160.714206164463
5.2,-66.9771426989305,216.89962813009,-151.027782402246
5.4,-92.3551401096989,221.510443076496,-128.442549039938
5.6,-116.149204970564,222.72575445965,-103.756239129257
5.8,-138.82054858137,219.695345396583,-78.2412133678675
6,-159.181091818273,213.24244076578,-51.4799964689255
6.2,-177.482105811172,202.958231516225,-24.4706929099767
6.4,-193.112425269684,189.271546991864,2.67306341253853
6.6,-206.455435930293,171.710940057523,28.9526567141904
6.8,-216.279910015759,151.61279878959,55.0158382185381
7,-221.738029085478,130.018096770695,81.1359842299425
7.2,-223.546971063072,106.489003164401,106.063788161739
7.4,-221.997596519703,81.069007843754,129.07247299648
7.59999999999999,-215.86230044817,55.481734691176,151.079683970106
7.79999999999999,-205.155762325898,30.2072771127529,171.781955588469
8,-188.724226155714,6.85084472058617,192.081827962526
8.2,-169.036793487353,-16.4074235857498,209.454413061827
8.4,-148.099635103686,-40.8856098070451,221.996368658784
8.6,-126.990284114687,-66.9183622046476,228.811937216035
8.8,-105.432640947442,-93.6112454990795,230.3649092186
9,-83.1818277109589,-119.908759260867,227.283395369274
9.2,-59.1219829841394,-143.81776273805,221.091204591582
9.4,-34.925219106253,-166.206591567429,210.641394146264
9.6,-12.0065068505701,-187.73942991242,195.013645972616
9.8,9.24483923403163,-208.133780399455,174.319376790327
10,32.0566897475605,-223.457023960709,152.587908222505
10.2,56.2595549391737,-233.31764677339,130.359439380892
10.4,81.7709907837974,-237.368611378912,108.230109161459
10.6,108.284969797501,-235.514663157248,86.4817518133989
10.8,136.090506515203,-227.201886733209,66.1380574199585
11,160.522527080014,-216.638891170145,43.4746356235713
11.2,181.299944608801,-203.809735557776,19.0394470100136
11.4,200.206521325256,-186.772768478074,-4.64481142247813
11.6,217.260575551623,-165.417134655684,-26.9350284584485
11.8,229.296977054943,-143.054291776215,-50.3873700974833
12,235.253398603397,-120.877698979047,-75.5468912999729
12.2,234.631951769018,-99.7516015707806,-102.561346383399
12.4,227.71153053422,-79.7229395542359,-130.804445022862
12.6,219.310352991741,-56.3799597136849,-155.004549656567
12.8,208.984647115292,-30.7253460249673,-175.268012519703
13,194.985079599966,-5.05653657156491,-193.186097129567
13.2,177.98703654643,20.6731280518399,-208.033121691941
13.4,157.995295576013,45.9103754300594,-219.739820384239
13.6,136.935288232157,71.8985825721957,-226.589196036672
13.8,116.07324032841,99.1872818145867,-227.568645845456
14,93.2776217914921,124.85606308006,-225.11305232973
14.2,68.1128500188605,147.583774943424,-220.096551446309
14.4,41.7851773304187,167.827388708261,-211.795949031501
14.6,15.1152132381366,185.661414758935,-199.939257974104
14.8,-11.9418671498928,200.320214558879,-185.14616990316
15,-38.6292139213509,211.982169533827,-167.278437802357
15.2,-65.1219504447606,219.913217588589,-147.129364073529
15.4,-91.2908102214399,223.721049925303,-125.299771054849
15.6,-116.411927417595,223.590988861777,-101.951063012366
15.8,-138.827794574305,220.792509022036,-76.1715854775408
16,-159.925264871704,213.618127913883,-50.1590061650303
16.2,-178.585092682382,202.944591784681,-23.5399957792243
16.4,-194.908018092656,188.554799062602,2.87196608621726
16.6,-209.00830429917,170.223395314304,28.3178738431764
16.8,-219.063468038082,149.86498256336,54.069680113564
17,-223.607786522219,129.18550799939,81.0507944229247
17.2,-224.756396252942,106.303393155623,106.620241300603
17.4,-222.678669885068,81.4250569559416,130.146559277928
17.6,-216.582296242672,55.7844311495606,152.085299659229
17.8,-206.196206880757,30.2059990373413,172.472495801052
18,-191.046741416963,5.65437102751254,191.540947018596
18.2,-171.447193442401,-17.6510002493668,208.861766347917
18.4,-150.593477558908,-42.1571862325651,221.352696066545
18.6,-129.628146678679,-68.3198241614685,228.052323307208
18.8,-108.744675998028,-95.6406596302678,228.989984650703
19,-85.9438805566157,-121.369262128125,226.474701430406
19.2,-61.4929995162924,-144.865444629507,220.721365018262
19.4,-36.5021356583972,-166.451487059669,211.061405491002
19.6,-12.2155237767066,-186.618302754134,196.841394840199
19.8,10.1244343627616,-205.914770124614,177.318599411795
20,33.247766602271,-220.975476292838,155.887483209384
20.2,58.1076739958089,-230.267958295425,134.253875121735
20.4,84.2744538145071,-233.778226959234,112.662070387727
20.6,112.036195387269,-230.86130899688,92.0555924076757
20.8,137.923937251671,-224.514266233022,69.7354918143861
21,160.53711283347,-215.781674945703,45.2422643033309
21.2,180.836022167739,-203.447197045886,20.3245143185179
21.4,199.145335239222,-187.019048016273,-3.99433205439614
21.6,215.511617943388,-166.368893192534,-27.0071540807421
21.8,227.021013360497,-144.522520128208,-51.0535443480112
22,232.456873648313,-122.929155184618,-76.8636209842627
22.2,231.23104640844,-102.383321395471,-104.574200582502
22.4,225.548815259182,-81.1132661229572,-131.653650926574
22.6,218.598537944222,-56.3299592701064,-154.40913211967
22.8,208.300353578094,-30.6402171995199,-174.657167618632
23,194.327982607675,-4.95958584431327,-192.560025328467
23.2,176.966147106323,20.4287317034979,-207.752152012565
23.4,156.524515152694,45.2343199700317,-219.918442225838
23.6,135.173923009552,70.9656315370113,-227.021971899734
23.8,114.414436451872,98.3720959922699,-227.888179356968
24,92.2602712668927,124.67119878785,-224.806325147283
24.2,66.6998492479184,147.02055872601,-220.172981670014
24.4,40.6994457994789,167.583289504372,-211.557335828851
24.6,14.4203109143107,185.786985399482,-199.317868018162
24.8,-11.9007525843212,201.165406167244,-183.824970012307
25,-37.4109536495223,213.958545268492,-164.77731144048
25.2,-63.4380614937743,222.307259241781,-144.178324392603
25.4,-90.5317099604763,225.151829846356,-123.308155180753
25.6,-116.037429239936,224.635087620346,-100.319692549755
25.8,-138.977454047767,221.297844590906,-75.0758132995794
26,-160.267292722282,213.919993356542,-49.2516574384833
26.2,-179.198072587917,202.978879803485,-22.9231406948585
26.4,-195.957378236669,188.133188467818,3.02426657286525
26.6,-210.491756532019,169.371461961903,28.0085372115615
26.7999999999999,-220.90721554242,148.636638662292,53.3284941111919
26.9999999999999,-225.422469874035,127.963421129859,80.2869596053696
27.1999999999999,-225.389940252657,106.278149088488,107.018238297273
27.3999999999999,-223.265298550625,81.4364481098301,130.582165128813
27.5999999999999,-217.007750225769,55.9646984634102,152.676057161098
27.7999999999999,-206.682293717285,30.3122403320666,172.98417967604
27.9999999999999,-192.255075948791,5.08504728067627,191.378134008278
28.1999999999999,-172.7488096088,-18.2777336149756,208.611250348518
28.3999999999999,-152.031086543195,-42.9090106338467,220.97737825741
28.5999999999999,-131.064187243293,-69.0500537385508,227.693707367126
28.7999999999999,-110.127799458066,-96.3170579947295,228.697065988737
28.9999999999999,-87.7921753207633,-122.475578264792,225.749708557185
29.1999999999999,-62.7435039032392,-145.372030835627,220.579936990987
29.3999999999999,-37.4467096166109,-166.65921785118,211.264235386679
29.5999999999999,-12.7421518993678,-186.390778721275,197.462226266964
29.7999999999999,10.7479364090438,-204.549439055409,179.116174897996
30,34.1113684921818,-219.395207267205,157.929953681761
